# BESIII e+e- -> pi+pi- J/psi cross section (arXiv:1611.01317)
# Channel A: pi+pi- J/psi
# sqrt_s (GeV), sigma (pb), stat_err, sys_err
3.7730,28.5,0.6,1.7
3.8077,16.7,3.3,1.0
3.8962,17.1,3.4,1.0
4.0076,16.0,1.1,1.0
4.0855,15.0,3.1,0.9
4.1886,15.5,3.8,0.9
4.2077,53.4,5.4,3.1
4.2171,60.3,5.7,3.5
4.2263,85.1,1.5,4.9
4.2417,84.4,6.3,4.9
4.2580,59.5,1.4,3.4
4.3079,52.0,5.7,3.0
4.3583,25.4,1.2,1.5
4.3874,20.0,3.2,1.2
4.4156,12.1,0.6,0.7
4.4671,13.3,2.1,0.8
4.5271,10.6,1.9,0.6
4.5745,13.4,3.2,0.8
4.5995,6.4,0.7,0.4
