# BESIII e+e- -> pi+pi- hc cross section (HEPData ins2908630)
# Channel B: pi+pi- hc
# sqrt_s (GeV), sigma (pb), stat_err, sys_err
4.1270,3.5,1.8,0.8
4.1570,5.7,1.9,0.7
4.1780,13.8,0.8,0.8
4.1890,17.7,2.1,1.6
4.1990,21.3,2.3,2.8
4.2080,39.0,8.6,2.7
4.2090,29.1,2.7,1.6
4.2170,46.6,9.2,2.6
4.2190,42.4,3.0,2.4
4.2260,46.3,2.1,2.6
4.2360,43.9,2.9,2.4
4.2420,37.3,8.7,2.1
4.2440,40.7,2.8,2.3
4.2580,38.9,2.2,2.2
4.2670,39.8,2.8,2.2
4.2780,37.0,4.8,2.1
4.2870,36.7,2.9,2.0
4.3080,47.2,9.9,3.6
4.3110,39.7,3.1,2.2
4.3370,43.7,3.1,2.4
4.3580,48.2,2.9,3.0
4.3770,46.7,3.0,2.9
4.3870,44.8,8.9,3.3
4.3950,46.6,3.1,2.9
4.4160,42.6,2.1,2.7
4.4180,34.6,21.2,2.2
4.4230,93.5,31.3,5.8
4.4280,67.5,27.8,4.2
4.4360,42.9,2.9,2.7
4.4380,40.2,22.5,2.5
4.4480,3.7,17.3,0.2
4.4580,36.4,20.8,2.6
4.4670,13.2,4.4,1.6
4.4780,30.6,21.5,12.6
4.4980,0.1,1.6,3.0
4.5270,1.4,3.4,0.9
4.5380,0.2,11.5,0.0
4.5680,2.2,10.9,0.1
4.5740,10.5,6.5,1.4
4.5780,9.7,15.0,0.6
4.5880,17.7,13.7,1.1
4.6000,6.2,1.6,0.5
4.6120,1.7,3.5,0.4
4.6280,4.9,1.7,0.3
4.6410,4.3,1.6,0.4
4.6610,10.7,1.9,0.6
4.6820,5.1,0.9,0.3
4.6990,6.7,1.6,0.4
4.7400,6.7,2.8,0.4
4.7500,4.1,1.9,0.3
4.7810,5.4,1.6,0.4
4.8430,2.2,1.4,0.2
4.9180,1.3,1.9,0.1
4.9510,3.4,2.6,0.6
