mass_GeV,counts,stat_err
6.0125,0,1.0000
6.0375,0,1.0000
6.0625,0,1.0000
6.0875,0,1.0000
6.1125,0,1.0000
6.1375,0,1.0000
6.1625,0,1.0000
6.1875,6,2.4495
6.2125,60,7.7460
6.2375,84,9.1652
6.2625,95,9.7468
6.2875,119,10.9090
6.3125,114,10.6770
6.3375,122,11.0450
6.3625,112,10.5830
6.3875,132,11.4890
6.4125,134,11.5760
6.4375,122,11.0450
6.4625,116,10.7700
6.4875,128,11.3140
6.5125,155,12.4500
6.5375,148,12.1660
6.5625,143,11.9580
6.5875,148,12.1660
6.6125,142,11.9160
6.6375,112,10.5830
6.6625,113,10.6300
6.6875,81,9.0000
6.7125,121,11.0000
6.7375,81,9.0000
6.7625,82,9.0554
6.7875,75,8.6603
6.8125,100,10.0000
6.8375,114,10.6770
6.8625,134,11.5760
6.8875,137,11.7050
6.9125,140,11.8320
6.9375,138,11.7470
6.9625,119,10.9090
6.9875,127,11.2690
7.0125,114,10.6770
7.0375,112,10.5830
7.0625,99,9.9499
7.0875,79,8.8882
7.1125,65,8.0623
7.1375,78,8.8318
7.1625,71,8.4261
7.1875,87,9.3274
7.2125,93,9.6437
7.2375,91,9.5394
7.2625,92,9.5917
7.2875,102,10.1000
7.3125,92,9.5917
7.3375,84,9.1652
7.3625,86,9.2736
7.3875,79,8.8882
7.4125,65,8.0623
7.4375,76,8.7178
7.4625,62,7.8740
7.4875,77,8.7750
7.5125,74,8.6023
7.5375,81,9.0000
7.5625,73,8.5440
7.5875,70,8.3666
7.6125,61,7.8102
7.6375,69,8.3066
7.6625,67,8.1854
7.6875,74,8.6023
7.7125,71,8.4261
7.7375,62,7.8740
7.7625,60,7.7460
7.7875,52,7.2111
7.8125,55,7.4162
7.8375,73,8.5440
7.8625,60,7.7460
7.8875,59,7.6811
7.9125,63,7.9373
7.9375,59,7.6811
7.9625,50,7.0711
7.9875,54,7.3485
8.0125,51,7.1414
8.0375,61,7.8102
8.0625,61,7.8102
8.0875,61,7.8102
8.1125,50,7.0711
8.1375,58,7.6158
8.1625,67,8.1854
8.1875,51,7.1414
8.2125,52,7.2111
8.2375,46,6.7823
8.2625,58,7.6158
8.2875,58,7.6158
8.3125,57,7.5498
8.3375,47,6.8557
8.3625,41,6.4031
8.3875,50,7.0711
8.4125,34,5.8310
8.4375,44,6.6332
8.4625,47,6.8557
8.4875,55,7.4162
8.5125,54,7.3485
8.5375,47,6.8557
8.5625,49,7.0000
8.5875,43,6.5574
8.6125,45,6.7082
8.6375,52,7.2111
8.6625,45,6.7082
8.6875,41,6.4031
8.7125,48,6.9282
8.7375,39,6.2450
8.7625,42,6.4807
8.7875,41,6.4031
8.8125,37,6.0828
8.8375,40,6.3246
8.8625,30,5.4772
8.8875,45,6.7082
8.9125,39,6.2450
8.9375,35,5.9161
8.9625,33,5.7446
8.9875,51,7.1414
9.0125,29,5.3852
9.0375,45,6.7082
9.0625,39,6.2450
9.0875,36,6.0000
9.1125,40,6.3246
9.1375,35,5.9161
9.1625,37,6.0828
9.1875,32,5.6569
9.2125,38,6.1644
9.2375,33,5.7446
9.2625,37,6.0828
9.2875,34,5.8310
9.3125,44,6.6332
9.3375,36,6.0000
9.3625,26,5.0990
9.3875,42,6.4807
9.4125,35,5.9161
9.4375,17,4.1231
9.4625,38,6.1644
9.4875,38,6.1644
9.5125,34,5.8310
9.5375,33,5.7446
9.5625,23,4.7958
9.5875,30,5.4772
9.6125,35,5.9161
9.6375,44,6.6332
9.6625,32,5.6569
9.6875,40,6.3246
9.7125,41,6.4031
9.7375,35,5.9161
9.7625,32,5.6569
9.7875,35,5.9161
9.8125,32,5.6569
9.8375,24,4.8990
9.8625,37,6.0828
9.8875,34,5.8310
9.9125,33,5.7446
9.9375,30,5.4772
9.9625,30,5.4772
9.9875,29,5.3852
10.0125,30,5.4772
10.0375,30,5.4772
10.0625,25,5.0000
10.0875,27,5.1962
10.1125,34,5.8310
10.1375,28,5.2915
10.1625,14,3.7417
10.1875,28,5.2915
10.2125,30,5.4772
10.2375,30,5.4772
10.2625,28,5.2915
10.2875,29,5.3852
10.3125,31,5.5678
10.3375,28,5.2915
10.3625,27,5.1962
10.3875,25,5.0000
10.4125,23,4.7958
10.4375,17,4.1231
10.4625,22,4.6904
10.4875,37,6.0828
10.5125,36,6.0000
10.5375,21,4.5826
10.5625,22,4.6904
10.5875,27,5.1962
10.6125,24,4.8990
10.6375,23,4.7958
10.6625,26,5.0990
10.6875,23,4.7958
10.7125,20,4.4721
10.7375,20,4.4721
10.7625,28,5.2915
10.7875,27,5.1962
10.8125,23,4.7958
10.8375,23,4.7958
10.8625,24,4.8990
10.8875,27,5.1962
10.9125,21,4.5826
10.9375,18,4.2426
10.9625,22,4.6904
10.9875,27,5.1962
11.0125,22,4.6904
11.0375,26,5.0990
11.0625,23,4.7958
11.0875,26,5.0990
11.1125,24,4.8990
11.1375,21,4.5826
11.1625,32,5.6569
11.1875,21,4.5826
11.2125,17,4.1231
11.2375,20,4.4721
11.2625,21,4.5826
11.2875,32,5.6569
11.3125,26,5.0990
11.3375,18,4.2426
11.3625,20,4.4721
11.3875,19,4.3589
11.4125,23,4.7958
11.4375,33,5.7446
11.4625,20,4.4721
11.4875,12,3.4641
11.5125,17,4.1231
11.5375,27,5.1962
11.5625,14,3.7417
11.5875,20,4.4721
11.6125,20,4.4721
11.6375,16,4.0000
11.6625,18,4.2426
11.6875,18,4.2426
11.7125,21,4.5826
11.7375,24,4.8990
11.7625,15,3.8730
11.7875,23,4.7958
11.8125,14,3.7417
11.8375,15,3.8730
11.8625,23,4.7958
11.8875,20,4.4721
11.9125,17,4.1231
11.9375,27,5.1962
11.9625,21,4.5826
11.9875,20,4.4721
12.0125,21,4.5826
12.0375,14,3.7417
12.0625,23,4.7958
12.0875,15,3.8730
12.1125,19,4.3589
12.1375,22,4.6904
12.1625,15,3.8730
12.1875,19,4.3589
12.2125,18,4.2426
12.2375,15,3.8730
12.2625,21,4.5826
12.2875,22,4.6904
12.3125,19,4.3589
12.3375,20,4.4721
12.3625,16,4.0000
12.3875,13,3.6056
12.4125,13,3.6056
12.4375,22,4.6904
12.4625,22,4.6904
12.4875,26,5.0990
12.5125,14,3.7417
12.5375,17,4.1231
12.5625,14,3.7417
12.5875,18,4.2426
12.6125,18,4.2426
12.6375,24,4.8990
12.6625,13,3.6056
12.6875,18,4.2426
12.7125,13,3.6056
12.7375,22,4.6904
12.7625,15,3.8730
12.7875,20,4.4721
12.8125,26,5.0990
12.8375,16,4.0000
12.8625,22,4.6904
12.8875,21,4.5826
12.9125,16,4.0000
12.9375,15,3.8730
12.9625,13,3.6056
12.9875,13,3.6056
13.0125,19,4.3589
13.0375,22,4.6904
13.0625,14,3.7417
13.0875,16,4.0000
13.1125,16,4.0000
13.1375,14,3.7417
13.1625,18,4.2426
13.1875,16,4.0000
13.2125,15,3.8730
13.2375,19,4.3589
13.2625,20,4.4721
13.2875,20,4.4721
13.3125,19,4.3589
13.3375,16,4.0000
13.3625,19,4.3589
13.3875,14,3.7417
13.4125,16,4.0000
13.4375,20,4.4721
13.4625,27,5.1962
13.4875,20,4.4721
13.5125,11,3.3166
13.5375,22,4.6904
13.5625,17,4.1231
13.5875,18,4.2426
13.6125,20,4.4721
13.6375,21,4.5826
13.6625,15,3.8730
13.6875,14,3.7417
13.7125,23,4.7958
13.7375,19,4.3589
13.7625,19,4.3589
13.7875,17,4.1231
13.8125,17,4.1231
13.8375,23,4.7958
13.8625,24,4.8990
13.8875,13,3.6056
13.9125,27,5.1962
13.9375,20,4.4721
13.9625,16,4.0000
13.9875,7,2.6458
14.0125,20,4.4721
14.0375,18,4.2426
14.0625,13,3.6056
14.0875,14,3.7417
14.1125,21,4.5826
14.1375,14,3.7417
14.1625,17,4.1231
14.1875,21,4.5826
14.2125,13,3.6056
14.2375,27,5.1962
14.2625,12,3.4641
14.2875,14,3.7417
14.3125,18,4.2426
14.3375,16,4.0000
14.3625,20,4.4721
14.3875,10,3.1623
14.4125,15,3.8730
14.4375,16,4.0000
14.4625,24,4.8990
14.4875,14,3.7417
14.5125,23,4.7958
14.5375,25,5.0000
14.5625,16,4.0000
14.5875,19,4.3589
14.6125,23,4.7958
14.6375,16,4.0000
14.6625,19,4.3589
14.6875,21,4.5826
14.7125,19,4.3589
14.7375,26,5.0990
14.7625,17,4.1231
14.7875,24,4.8990
14.8125,11,3.3166
14.8375,15,3.8730
14.8625,18,4.2426
14.8875,15,3.8730
14.9125,11,3.3166
14.9375,21,4.5826
14.9625,11,3.3166
14.9875,21,4.5826
