#: table_doi: 10.17182/hepdata.141028.v1/t2
#: name: Figure 1
#: description: The $\mathrm{J}/\psi\mathrm{J}/\psi$ invariant mass distribution in data
#: data_file: figure_1.yaml
#: keyword cmenergies: 13000
#: keyword reactions: P P --> J/PSI J/PSI | J/PSI --> MU+ MU-
#: keyword observables: M
#: keyword phrases: Proton-Proton Scattering | Invariant Mass Distribution
#: SQRT(S) [TeV],,,13
#: LUMINOSITY [fb$^{-1}$],,,135
$M(\mathrm{J}/\psi\mathrm{J}/\psi)$ [GeV],$M(\mathrm{J}/\psi\mathrm{J}/\psi)$ [GeV] LOW,$M(\mathrm{J}/\psi\mathrm{J}/\psi)$ [GeV] HIGH,Candidates / 25 MeV [GeV],stat +,stat -
6.0125,6.0,6.025,0.0,0,0
6.0375,6.025,6.05,0.0,0,0
6.0625,6.05,6.075,0.0,0,0
6.0875,6.075,6.1,0.0,0,0
6.1125,6.1,6.125,0.0,0,0
6.1375,6.125,6.15,0.0,0,0
6.1625,6.15,6.175,0.0,0,0
6.1875,6.175,6.2,6.0,2.4495,-2.4495
6.2125,6.2,6.225,60.0,7.746,-7.746
6.2375,6.225,6.25,84.0,9.1652,-9.1652
6.2625,6.25,6.275,95.0,9.7468,-9.7468
6.2875,6.275,6.3,119.0,10.909,-10.909
6.3125,6.3,6.325,114.0,10.677,-10.677
6.3375,6.325,6.35,122.0,11.045,-11.045
6.3625,6.35,6.375,112.0,10.583,-10.583
6.3875,6.375,6.4,132.0,11.489,-11.489
6.4125,6.4,6.425,134.0,11.576,-11.576
6.4375,6.425,6.45,122.0,11.045,-11.045
6.4625,6.45,6.475,116.0,10.77,-10.77
6.4875,6.475,6.5,128.0,11.314,-11.314
6.5125,6.5,6.525,155.0,12.45,-12.45
6.5375,6.525,6.55,148.0,12.166,-12.166
6.5625,6.55,6.575,143.0,11.958,-11.958
6.5875,6.575,6.6,148.0,12.166,-12.166
6.6125,6.6,6.625,142.0,11.916,-11.916
6.6375,6.625,6.65,112.0,10.583,-10.583
6.6625,6.65,6.675,113.0,10.63,-10.63
6.6875,6.675,6.7,81.0,9.0,-9.0
6.7125,6.7,6.725,121.0,11.0,-11.0
6.7375,6.725,6.75,81.0,9.0,-9.0
6.7625,6.75,6.775,82.0,9.0554,-9.0554
6.7875,6.775,6.8,75.0,8.6603,-8.6603
6.8125,6.8,6.825,100.0,10.0,-10.0
6.8375,6.825,6.85,114.0,10.677,-10.677
6.8625,6.85,6.875,134.0,11.576,-11.576
6.8875,6.875,6.9,137.0,11.705,-11.705
6.9125,6.9,6.925,140.0,11.832,-11.832
6.9375,6.925,6.95,138.0,11.747,-11.747
6.9625,6.95,6.975,119.0,10.909,-10.909
6.9875,6.975,7.0,127.0,11.269,-11.269
7.0125,7.0,7.025,114.0,10.677,-10.677
7.0375,7.025,7.05,112.0,10.583,-10.583
7.0625,7.05,7.075,99.0,9.9499,-9.9499
7.0875,7.075,7.1,79.0,8.8882,-8.8882
7.1125,7.1,7.125,65.0,8.0623,-8.0623
7.1375,7.125,7.15,78.0,8.8318,-8.8318
7.1625,7.15,7.175,71.0,8.4261,-8.4261
7.1875,7.175,7.2,87.0,9.3274,-9.3274
7.2125,7.2,7.225,93.0,9.6437,-9.6437
7.2375,7.225,7.25,91.0,9.5394,-9.5394
7.2625,7.25,7.275,92.0,9.5917,-9.5917
7.2875,7.275,7.3,102.0,10.1,-10.1
7.3125,7.3,7.325,92.0,9.5917,-9.5917
7.3375,7.325,7.35,84.0,9.1652,-9.1652
7.3625,7.35,7.375,86.0,9.2736,-9.2736
7.3875,7.375,7.4,79.0,8.8882,-8.8882
7.4125,7.4,7.425,65.0,8.0623,-8.0623
7.4375,7.425,7.45,76.0,8.7178,-8.7178
7.4625,7.45,7.475,62.0,7.874,-7.874
7.4875,7.475,7.5,77.0,8.775,-8.775
7.5125,7.5,7.525,74.0,8.6023,-8.6023
7.5375,7.525,7.55,81.0,9.0,-9.0
7.5625,7.55,7.575,73.0,8.544,-8.544
7.5875,7.575,7.6,70.0,8.3666,-8.3666
7.6125,7.6,7.625,61.0,7.8102,-7.8102
7.6375,7.625,7.65,69.0,8.3066,-8.3066
7.6625,7.65,7.675,67.0,8.1854,-8.1854
7.6875,7.675,7.7,74.0,8.6023,-8.6023
7.7125,7.7,7.725,71.0,8.4261,-8.4261
7.7375,7.725,7.75,62.0,7.874,-7.874
7.7625,7.75,7.775,60.0,7.746,-7.746
7.7875,7.775,7.8,52.0,7.2111,-7.2111
7.8125,7.8,7.825,55.0,7.4162,-7.4162
7.8375,7.825,7.85,73.0,8.544,-8.544
7.8625,7.85,7.875,60.0,7.746,-7.746
7.8875,7.875,7.9,59.0,7.6811,-7.6811
7.9125,7.9,7.925,63.0,7.9373,-7.9373
7.9375,7.925,7.95,59.0,7.6811,-7.6811
7.9625,7.95,7.975,50.0,7.0711,-7.0711
7.9875,7.975,8.0,54.0,7.3485,-7.3485
8.0125,8.0,8.025,51.0,7.1414,-7.1414
8.037500000000001,8.025,8.05,61.0,7.8102,-7.8102
8.0625,8.05,8.075,61.0,7.8102,-7.8102
8.087499999999999,8.075,8.1,61.0,7.8102,-7.8102
8.1125,8.1,8.125,50.0,7.0711,-7.0711
8.1375,8.125,8.15,58.0,7.6158,-7.6158
8.162500000000001,8.15,8.175,67.0,8.1854,-8.1854
8.1875,8.175,8.2,51.0,7.1414,-7.1414
8.212499999999999,8.2,8.225,52.0,7.2111,-7.2111
8.2375,8.225,8.25,46.0,6.7823,-6.7823
8.2625,8.25,8.275,58.0,7.6158,-7.6158
8.287500000000001,8.275,8.3,58.0,7.6158,-7.6158
8.3125,8.3,8.325,57.0,7.5498,-7.5498
8.337499999999999,8.325,8.35,47.0,6.8557,-6.8557
8.3625,8.35,8.375,41.0,6.4031,-6.4031
8.3875,8.375,8.4,50.0,7.0711,-7.0711
8.412500000000001,8.4,8.425,34.0,5.831,-5.831
8.4375,8.425,8.45,44.0,6.6332,-6.6332
8.462499999999999,8.45,8.475,47.0,6.8557,-6.8557
8.4875,8.475,8.5,55.0,7.4162,-7.4162
8.5125,8.5,8.525,54.0,7.3485,-7.3485
8.537500000000001,8.525,8.55,47.0,6.8557,-6.8557
8.5625,8.55,8.575,49.0,7.0,-7.0
8.587499999999999,8.575,8.6,43.0,6.5574,-6.5574
8.6125,8.6,8.625,45.0,6.7082,-6.7082
8.6375,8.625,8.65,52.0,7.2111,-7.2111
8.662500000000001,8.65,8.675,45.0,6.7082,-6.7082
8.6875,8.675,8.7,41.0,6.4031,-6.4031
8.712499999999999,8.7,8.725,48.0,6.9282,-6.9282
8.7375,8.725,8.75,39.0,6.245,-6.245
8.7625,8.75,8.775,42.0,6.4807,-6.4807
8.787500000000001,8.775,8.8,41.0,6.4031,-6.4031
8.8125,8.8,8.825,37.0,6.0828,-6.0828
8.837499999999999,8.825,8.85,40.0,6.3246,-6.3246
8.8625,8.85,8.875,30.0,5.4772,-5.4772
8.8875,8.875,8.9,45.0,6.7082,-6.7082
8.912500000000001,8.9,8.925,39.0,6.245,-6.245
8.9375,8.925,8.95,35.0,5.9161,-5.9161
8.962499999999999,8.95,8.975,33.0,5.7446,-5.7446
8.9875,8.975,9.0,51.0,7.1414,-7.1414
9.0125,9.0,9.025,29.0,5.3852,-5.3852
9.037500000000001,9.025,9.05,45.0,6.7082,-6.7082
9.0625,9.05,9.075,39.0,6.245,-6.245
9.087499999999999,9.075,9.1,36.0,6.0,-6.0
9.1125,9.1,9.125,40.0,6.3246,-6.3246
9.1375,9.125,9.15,35.0,5.9161,-5.9161
9.162500000000001,9.15,9.175,37.0,6.0828,-6.0828
9.1875,9.175,9.2,32.0,5.6569,-5.6569
9.212499999999999,9.2,9.225,38.0,6.1644,-6.1644
9.2375,9.225,9.25,33.0,5.7446,-5.7446
9.2625,9.25,9.275,37.0,6.0828,-6.0828
9.287500000000001,9.275,9.3,34.0,5.831,-5.831
9.3125,9.3,9.325,44.0,6.6332,-6.6332
9.337499999999999,9.325,9.35,36.0,6.0,-6.0
9.3625,9.35,9.375,26.0,5.099,-5.099
9.3875,9.375,9.4,42.0,6.4807,-6.4807
9.412500000000001,9.4,9.425,35.0,5.9161,-5.9161
9.4375,9.425,9.45,17.0,4.1231,-4.1231
9.462499999999999,9.45,9.475,38.0,6.1644,-6.1644
9.4875,9.475,9.5,38.0,6.1644,-6.1644
9.5125,9.5,9.525,34.0,5.831,-5.831
9.537500000000001,9.525,9.55,33.0,5.7446,-5.7446
9.5625,9.55,9.575,23.0,4.7958,-4.7958
9.587499999999999,9.575,9.6,30.0,5.4772,-5.4772
9.6125,9.6,9.625,35.0,5.9161,-5.9161
9.6375,9.625,9.65,44.0,6.6332,-6.6332
9.662500000000001,9.65,9.675,32.0,5.6569,-5.6569
9.6875,9.675,9.7,40.0,6.3246,-6.3246
9.712499999999999,9.7,9.725,41.0,6.4031,-6.4031
9.7375,9.725,9.75,35.0,5.9161,-5.9161
9.7625,9.75,9.775,32.0,5.6569,-5.6569
9.787500000000001,9.775,9.8,35.0,5.9161,-5.9161
9.8125,9.8,9.825,32.0,5.6569,-5.6569
9.837499999999999,9.825,9.85,24.0,4.899,-4.899
9.8625,9.85,9.875,37.0,6.0828,-6.0828
9.8875,9.875,9.9,34.0,5.831,-5.831
9.912500000000001,9.9,9.925,33.0,5.7446,-5.7446
9.9375,9.925,9.95,30.0,5.4772,-5.4772
9.962499999999999,9.95,9.975,30.0,5.4772,-5.4772
9.9875,9.975,10.0,29.0,5.3852,-5.3852
10.0125,10.0,10.025,30.0,5.4772,-5.4772
10.037500000000001,10.025,10.05,30.0,5.4772,-5.4772
10.0625,10.05,10.075,25.0,5.0,-5.0
10.087499999999999,10.075,10.1,27.0,5.1962,-5.1962
10.1125,10.1,10.125,34.0,5.831,-5.831
10.1375,10.125,10.15,28.0,5.2915,-5.2915
10.162500000000001,10.15,10.175,14.0,3.7417,-3.7417
10.1875,10.175,10.2,28.0,5.2915,-5.2915
10.212499999999999,10.2,10.225,30.0,5.4772,-5.4772
10.2375,10.225,10.25,30.0,5.4772,-5.4772
10.2625,10.25,10.275,28.0,5.2915,-5.2915
10.287500000000001,10.275,10.3,29.0,5.3852,-5.3852
10.3125,10.3,10.325,31.0,5.5678,-5.5678
10.337499999999999,10.325,10.35,28.0,5.2915,-5.2915
10.3625,10.35,10.375,27.0,5.1962,-5.1962
10.3875,10.375,10.4,25.0,5.0,-5.0
10.412500000000001,10.4,10.425,23.0,4.7958,-4.7958
10.4375,10.425,10.45,17.0,4.1231,-4.1231
10.462499999999999,10.45,10.475,22.0,4.6904,-4.6904
10.4875,10.475,10.5,37.0,6.0828,-6.0828
10.5125,10.5,10.525,36.0,6.0,-6.0
10.537500000000001,10.525,10.55,21.0,4.5826,-4.5826
10.5625,10.55,10.575,22.0,4.6904,-4.6904
10.587499999999999,10.575,10.6,27.0,5.1962,-5.1962
10.6125,10.6,10.625,24.0,4.899,-4.899
10.6375,10.625,10.65,23.0,4.7958,-4.7958
10.662500000000001,10.65,10.675,26.0,5.099,-5.099
10.6875,10.675,10.7,23.0,4.7958,-4.7958
10.712499999999999,10.7,10.725,20.0,4.4721,-4.4721
10.7375,10.725,10.75,20.0,4.4721,-4.4721
10.7625,10.75,10.775,28.0,5.2915,-5.2915
10.787500000000001,10.775,10.8,27.0,5.1962,-5.1962
10.8125,10.8,10.825,23.0,4.7958,-4.7958
10.837499999999999,10.825,10.85,23.0,4.7958,-4.7958
10.8625,10.85,10.875,24.0,4.899,-4.899
10.8875,10.875,10.9,27.0,5.1962,-5.1962
10.912500000000001,10.9,10.925,21.0,4.5826,-4.5826
10.9375,10.925,10.95,18.0,4.2426,-4.2426
10.962499999999999,10.95,10.975,22.0,4.6904,-4.6904
10.9875,10.975,11.0,27.0,5.1962,-5.1962
11.0125,11.0,11.025,22.0,4.6904,-4.6904
11.037500000000001,11.025,11.05,26.0,5.099,-5.099
11.0625,11.05,11.075,23.0,4.7958,-4.7958
11.087499999999999,11.075,11.1,26.0,5.099,-5.099
11.1125,11.1,11.125,24.0,4.899,-4.899
11.1375,11.125,11.15,21.0,4.5826,-4.5826
11.162500000000001,11.15,11.175,32.0,5.6569,-5.6569
11.1875,11.175,11.2,21.0,4.5826,-4.5826
11.212499999999999,11.2,11.225,17.0,4.1231,-4.1231
11.2375,11.225,11.25,20.0,4.4721,-4.4721
11.2625,11.25,11.275,21.0,4.5826,-4.5826
11.287500000000001,11.275,11.3,32.0,5.6569,-5.6569
11.3125,11.3,11.325,26.0,5.099,-5.099
11.337499999999999,11.325,11.35,18.0,4.2426,-4.2426
11.3625,11.35,11.375,20.0,4.4721,-4.4721
11.3875,11.375,11.4,19.0,4.3589,-4.3589
11.412500000000001,11.4,11.425,23.0,4.7958,-4.7958
11.4375,11.425,11.45,33.0,5.7446,-5.7446
11.462499999999999,11.45,11.475,20.0,4.4721,-4.4721
11.4875,11.475,11.5,12.0,3.4641,-3.4641
11.5125,11.5,11.525,17.0,4.1231,-4.1231
11.537500000000001,11.525,11.55,27.0,5.1962,-5.1962
11.5625,11.55,11.575,14.0,3.7417,-3.7417
11.587499999999999,11.575,11.6,20.0,4.4721,-4.4721
11.6125,11.6,11.625,20.0,4.4721,-4.4721
11.6375,11.625,11.65,16.0,4.0,-4.0
11.662500000000001,11.65,11.675,18.0,4.2426,-4.2426
11.6875,11.675,11.7,18.0,4.2426,-4.2426
11.712499999999999,11.7,11.725,21.0,4.5826,-4.5826
11.7375,11.725,11.75,24.0,4.899,-4.899
11.7625,11.75,11.775,15.0,3.873,-3.873
11.787500000000001,11.775,11.8,23.0,4.7958,-4.7958
11.8125,11.8,11.825,14.0,3.7417,-3.7417
11.837499999999999,11.825,11.85,15.0,3.873,-3.873
11.8625,11.85,11.875,23.0,4.7958,-4.7958
11.8875,11.875,11.9,20.0,4.4721,-4.4721
11.912500000000001,11.9,11.925,17.0,4.1231,-4.1231
11.9375,11.925,11.95,27.0,5.1962,-5.1962
11.962499999999999,11.95,11.975,21.0,4.5826,-4.5826
11.9875,11.975,12.0,20.0,4.4721,-4.4721
12.0125,12.0,12.025,21.0,4.5826,-4.5826
12.037500000000001,12.025,12.05,14.0,3.7417,-3.7417
12.0625,12.05,12.075,23.0,4.7958,-4.7958
12.087499999999999,12.075,12.1,15.0,3.873,-3.873
12.1125,12.1,12.125,19.0,4.3589,-4.3589
12.1375,12.125,12.15,22.0,4.6904,-4.6904
12.162500000000001,12.15,12.175,15.0,3.873,-3.873
12.1875,12.175,12.2,19.0,4.3589,-4.3589
12.212499999999999,12.2,12.225,18.0,4.2426,-4.2426
12.2375,12.225,12.25,15.0,3.873,-3.873
12.2625,12.25,12.275,21.0,4.5826,-4.5826
12.287500000000001,12.275,12.3,22.0,4.6904,-4.6904
12.3125,12.3,12.325,19.0,4.3589,-4.3589
12.337499999999999,12.325,12.35,20.0,4.4721,-4.4721
12.3625,12.35,12.375,16.0,4.0,-4.0
12.3875,12.375,12.4,13.0,3.6056,-3.6056
12.412500000000001,12.4,12.425,13.0,3.6056,-3.6056
12.4375,12.425,12.45,22.0,4.6904,-4.6904
12.462499999999999,12.45,12.475,22.0,4.6904,-4.6904
12.4875,12.475,12.5,26.0,5.099,-5.099
12.5125,12.5,12.525,14.0,3.7417,-3.7417
12.537500000000001,12.525,12.55,17.0,4.1231,-4.1231
12.5625,12.55,12.575,14.0,3.7417,-3.7417
12.587499999999999,12.575,12.6,18.0,4.2426,-4.2426
12.6125,12.6,12.625,18.0,4.2426,-4.2426
12.6375,12.625,12.65,24.0,4.899,-4.899
12.662500000000001,12.65,12.675,13.0,3.6056,-3.6056
12.6875,12.675,12.7,18.0,4.2426,-4.2426
12.712499999999999,12.7,12.725,13.0,3.6056,-3.6056
12.7375,12.725,12.75,22.0,4.6904,-4.6904
12.7625,12.75,12.775,15.0,3.873,-3.873
12.787500000000001,12.775,12.8,20.0,4.4721,-4.4721
12.8125,12.8,12.825,26.0,5.099,-5.099
12.837499999999999,12.825,12.85,16.0,4.0,-4.0
12.8625,12.85,12.875,22.0,4.6904,-4.6904
12.8875,12.875,12.9,21.0,4.5826,-4.5826
12.912500000000001,12.9,12.925,16.0,4.0,-4.0
12.9375,12.925,12.95,15.0,3.873,-3.873
12.962499999999999,12.95,12.975,13.0,3.6056,-3.6056
12.9875,12.975,13.0,13.0,3.6056,-3.6056
13.0125,13.0,13.025,19.0,4.3589,-4.3589
13.037500000000001,13.025,13.05,22.0,4.6904,-4.6904
13.0625,13.05,13.075,14.0,3.7417,-3.7417
13.087499999999999,13.075,13.1,16.0,4.0,-4.0
13.1125,13.1,13.125,16.0,4.0,-4.0
13.1375,13.125,13.15,14.0,3.7417,-3.7417
13.162500000000001,13.15,13.175,18.0,4.2426,-4.2426
13.1875,13.175,13.2,16.0,4.0,-4.0
13.212499999999999,13.2,13.225,15.0,3.873,-3.873
13.2375,13.225,13.25,19.0,4.3589,-4.3589
13.2625,13.25,13.275,20.0,4.4721,-4.4721
